Time_s   Intensity_dB
109.160000   51.068882
109.170667   58.551583
109.181333   63.595017
109.192000   66.335057
109.202667   67.721913
109.213333   68.705853
109.224000   69.693223
109.234667   70.886057
109.245333   71.908682
109.256000   71.961897
109.266667   70.948027
109.277333   69.293670
109.288000   67.577712
109.298667   65.876165
109.309333   63.600964
109.320000   60.805011
109.330667   57.453742
109.341333   53.620018
109.352000   50.259836
109.362667   48.049064
109.373333   50.358183
109.384000   53.997859
109.394667   55.467006
109.405333   54.470548
109.416000   51.660007
109.426667   48.002643
109.437333   44.213921
109.448000   40.741158
109.458667   37.920905
109.469333   37.312590
109.480000   37.883395
109.490667   37.412287
109.501333   36.207911
109.512000   34.977077
109.522667   34.168834
109.533333   34.421485
109.544000   34.320507
109.554667   33.930721
109.565333   34.159644
109.576000   34.620655
109.586667   35.215256
109.597333   39.586970
109.608000   44.994417
109.618667   47.858235
109.629333   48.449778
109.640000   49.073690
109.650667   51.600920
109.661333   54.556600
109.672000   56.475210
109.682667   56.835154
109.693333   55.480409
109.704000   52.881421
109.714667   50.953784
109.725333   50.742615
109.736000   50.731402
109.746667   50.658548
109.757333   50.704215
109.768000   50.753826
109.778667   50.818456
109.789333   51.764038
109.800000   54.124119
109.810667   55.773056
109.821333   56.477268
109.832000   57.665776
109.842667   60.035511
109.853333   63.639304
109.864000   65.889578
109.874667   66.359105
109.885333   66.265988
109.896000   66.319246
109.906667   66.353114
109.917333   66.102777
109.928000   65.567788
109.938667   64.967200
109.949333   64.611134
109.960000   64.629833
109.970667   64.300336
109.981333   63.491035
109.992000   62.883002
110.002667   62.487701
110.013333   61.978586
110.024000   61.369643
110.034667   60.834709
110.045333   60.450429
110.056000   60.029859
110.066667   59.473849
110.077333   58.535388
110.088000   56.634991
110.098667   54.554659
110.109333   53.367609
110.120000   52.333602
110.130667   50.626247
110.141333   48.963023
110.152000   48.588637
110.162667   48.643814
110.173333   49.113694
110.184000   49.072377
110.194667   48.656607
110.205333   48.878003
110.216000   48.676340
110.226667   47.930448
110.237333   47.876652
110.248000   48.606063
110.258667   49.187201
110.269333   50.313155
110.280000   52.464080
110.290667   54.609945
110.301333   56.474596
110.312000   57.184316
110.322667   56.911189
110.333333   55.921000
110.344000   54.921828
110.354667   54.942149
110.365333   55.237170
110.376000   54.899275
110.386667   54.126947
110.397333   52.998846
110.408000   50.904106
110.418667   48.002184
110.429333   45.626084
110.440000   44.340874
110.450667   44.388736
110.461333   45.117050
110.472000   45.458241
110.482667   45.748003
110.493333   46.529489
110.504000   47.130173
110.514667   47.191720
110.525333   47.285641
110.536000   47.741872
110.546667   47.768930
110.557333   47.213458
110.568000   46.880953
110.578667   46.895800
110.589333   46.534459
110.600000   46.063736
110.610667   45.554672
110.621333   44.463232
110.632000   43.109752
110.642667   41.867857
110.653333   41.115762
110.664000   42.624250
110.674667   50.889312
110.685333   59.216372
110.696000   65.747802
110.706667   69.561805
110.717333   71.070837
110.728000   71.526106
110.738667   71.750678
110.749333   71.717158
110.760000   71.421430
110.770667   70.530504
110.781333   68.654387
110.792000   65.979920
110.802667   63.836267
110.813333   63.399808
110.824000   64.939623
110.834667   68.095254
110.845333   71.845104
110.856000   74.405224
110.866667   74.836111
110.877333   73.827286
110.888000   73.051612
110.898667   72.717706
110.909333   72.256193
110.920000   71.537847
110.930667   70.455062
110.941333   68.714624
110.952000   65.637656
110.962667   61.178520
110.973333   56.218483
110.984000   53.070808
110.994667   51.202313
111.005333   51.790900
111.016000   54.771126
111.026667   58.455259
111.037333   61.260353
111.048000   62.224509
111.058667   61.833161
111.069333   61.580886
111.080000   61.650220
111.090667   62.068550
111.101333   64.614078
111.112000   67.861373
111.122667   69.795371
111.133333   70.312180
111.144000   69.390874
111.154667   67.089032
111.165333   64.801632
